"variant","date","proportion"
"undetermined",2022-02-19,0.00174418617408175
"undetermined",2022-02-20,0.000352295815615167
"undetermined",2022-02-21,0.00142311738979326
"undetermined",2022-02-22,2.22198023999937e-06
"undetermined",2022-02-23,0.00213593743563393
"undetermined",2022-02-24,1.17302450257234e-09
"undetermined",2022-02-25,0.000377123813225878
"undetermined",2022-02-26,0.00120674251626214
"undetermined",2022-02-27,0.000789848623948014
"undetermined",2022-02-28,0.00233029226800847
"undetermined",2022-03-01,0.00169433435364461
"undetermined",2022-03-02,0.00252555446131027
"undetermined",2022-03-03,0.00117072256844455
"undetermined",2022-03-04,0.000400907185537326
"undetermined",2022-03-05,0.00113227658623066
"undetermined",2022-03-06,0.00223880738468721
"undetermined",2022-03-07,0.00295736558493352
"undetermined",2022-03-08,0.00194855983222101
"undetermined",2022-03-09,0.00137204485964672
"undetermined",2022-03-10,0.00149435906298029
"undetermined",2022-03-11,0.00411740955990837
"undetermined",2022-03-12,0.00267263004587926
"undetermined",2022-03-13,1.60520476393883e-09
"undetermined",2022-03-14,6.27403554538878e-09
"undetermined",2022-03-15,0.00154294600837959
"undetermined",2022-03-16,0.00110438621473425
"undetermined",2022-03-17,0.00263726352758225
"undetermined",2022-03-18,0.0011479088956198
"undetermined",2022-03-19,0.000276412779746975
"undetermined",2022-03-20,0.00141258304933891
"undetermined",2022-03-21,0.00148182790883485
"undetermined",2022-03-22,0.00106184218630271
"undetermined",2022-03-23,0.000127379409018224
"undetermined",2022-03-24,0.000972139184049229
"undetermined",2022-03-25,0.00118948268912454
"undetermined",2022-03-26,0.000213174232288356
"undetermined",2022-03-27,6.22978090493455e-08
"undetermined",2022-03-28,0.00124017874374909
"undetermined",2022-03-29,3.76843117414297e-05
"undetermined",2022-03-30,0.000881599261423316
"undetermined",2022-03-31,2.35877197815656e-05
"undetermined",2022-04-01,0.000165449017965719
"undetermined",2022-04-02,0.001880844393061
"undetermined",2022-04-03,1.20443991832375e-09
"undetermined",2022-04-04,0.000486443304197935
"undetermined",2022-04-05,0.000528345885992042
"undetermined",2022-04-06,0.000377326041815146
"undetermined",2022-04-07,0.00117833845602812
"undetermined",2022-04-08,0.0015341114403719
"undetermined",2022-04-09,0.000451959735659071
"undetermined",2022-04-10,0.960807450130693
"undetermined",2022-04-11,0.00113056769595191
"undetermined",2022-04-12,0.00178440034515672
"undetermined",2022-04-13,0.00187535607250815
"undetermined",2022-04-14,0.000452793220951669
"undetermined",2022-04-15,0.00118641400998136
"undetermined",2022-04-16,7.39651516717672e-09
"undetermined",2022-04-17,0.000124715455774381
"undetermined",2022-04-18,0.00011748308167951
"undetermined",2022-04-19,0.000341593829247116
"undetermined",2022-04-20,0.000318007106080047
"undetermined",2022-04-21,1.57556719434134e-10
"undetermined",2022-04-22,0.000715093507153578
"undetermined",2022-04-23,0.000365625758375212
"undetermined",2022-04-24,0.00137444013453771
"undetermined",2022-04-25,0.0013999655296447
"undetermined",2022-04-26,0.00037776590491503
"undetermined",2022-04-27,0.000192773399426881
"undetermined",2022-04-28,0.000206800267448059
"undetermined",2022-04-29,0.000325483180384483
"undetermined",2022-04-30,1.79893686956983e-08
